NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Ensenada, Todos Santos Bay 
State:  
Stationid: TWC0403
ReferencedToStationName: San Diego, San Diego Bay
ReferencedToStationId: 9410170
HeightOffsetLow: * 0.89
HeightOffsetHigh: * 0.92
TimeOffsetLow: -11
TimeOffsetHigh: -19
Prediction Type: Subordinate
From: 20180101 01:24 - 20181231 23:01
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2018/05/12	Sat	01:39 PM	0.49		15			L
2018/05/12	Sat	07:50 PM	5.37		164			H
2018/05/13	Sun	02:27 AM	-0.02		-1			L
2018/05/13	Sun	08:22 AM	4.29		131			H
2018/05/13	Sun	02:13 PM	0.59		18			L
2018/05/13	Sun	08:20 PM	5.76		176			H
2018/05/14	Mon	03:06 AM	-0.52		-16			L
2018/05/14	Mon	09:07 AM	4.29		131			H
2018/05/14	Mon	02:47 PM	0.76		23			L
2018/05/14	Mon	08:53 PM	6.07		185			H
2018/05/15	Tue	03:47 AM	-0.90		-27			L
2018/05/15	Tue	09:54 AM	4.20		128			H
2018/05/15	Tue	03:22 PM	0.99		30			L
2018/05/15	Tue	09:28 PM	6.24		190			H
2018/05/16	Wed	04:32 AM	-1.10		-34			L
2018/05/16	Wed	10:44 AM	4.03		123			H
2018/05/16	Wed	04:00 PM	1.28		39			L
2018/05/16	Wed	10:07 PM	6.25		190			H
2018/05/17	Thu	05:20 AM	-1.14		-35			L
2018/05/17	Thu	11:39 AM	3.81		116			H
2018/05/17	Thu	04:42 PM	1.61		49			L
2018/05/17	Thu	10:50 PM	6.07		185			H
2018/05/18	Fri	06:13 AM	-1.00		-30			L
2018/05/18	Fri	12:42 PM	3.62		110			H
2018/05/18	Fri	05:33 PM	1.96		60			L
2018/05/18	Fri	11:40 PM	5.71		174			H
2018/05/19	Sat	07:12 AM	-0.75		-23			L
2018/05/19	Sat	01:55 PM	3.54		108			H
2018/05/19	Sat	06:39 PM	2.28		69			L
2018/05/20	Sun	12:40 AM	5.23		159			H
2018/05/20	Sun	08:18 AM	-0.47		-14			L
2018/05/20	Sun	03:16 PM	3.66		112			H
2018/05/20	Sun	08:10 PM	2.44		74			L
2018/05/21	Mon	01:54 AM	4.71		144			H
2018/05/21	Mon	09:27 AM	-0.22		-7			L
2018/05/21	Mon	04:29 PM	3.98		121			H
2018/05/21	Mon	09:52 PM	2.28		69			L
2018/05/22	Tue	03:21 AM	4.32		132			H
2018/05/22	Tue	10:33 AM	-0.03		-1			L
2018/05/22	Tue	05:26 PM	4.39		134			H
2018/05/22	Tue	11:21 PM	1.79		55			L
2018/05/23	Wed	04:47 AM	4.12		126			H
2018/05/23	Wed	11:31 AM	0.15		5			L
2018/05/23	Wed	06:10 PM	4.81		147			H
2018/05/24	Thu	12:28 AM	1.19		36			L
2018/05/24	Thu	06:01 AM	4.07		124			H
2018/05/24	Thu	12:20 PM	0.34		10			L
2018/05/24	Thu	06:48 PM	5.20		158			H
2018/05/25	Fri	01:21 AM	0.59		18			L
2018/05/25	Fri	07:03 AM	4.05		123			H
2018/05/25	Fri	01:02 PM	0.55		17			L
2018/05/25	Fri	07:22 PM	5.50		168			H
2018/05/26	Sat	02:06 AM	0.10		3			L
2018/05/26	Sat	07:56 AM	4.03		123			H
2018/05/26	Sat	01:39 PM	0.80		24			L
2018/05/26	Sat	07:54 PM	5.72		174			H
2018/05/27	Sun	02:45 AM	-0.27		-8			L
2018/05/27	Sun	08:42 AM	3.97		121			H
2018/05/27	Sun	02:13 PM	1.05		32			L
2018/05/27	Sun	08:24 PM	5.83		178			H
2018/05/28	Mon	03:22 AM	-0.50		-15			L
2018/05/28	Mon	09:25 AM	3.89		119			H
2018/05/28	Mon	02:45 PM	1.31		40			L
2018/05/28	Mon	08:53 PM	5.85		178			H
2018/05/29	Tue	03:58 AM	-0.60		-18			L
2018/05/29	Tue	10:06 AM	3.78		115			H
2018/05/29	Tue	03:16 PM	1.55		47			L
2018/05/29	Tue	09:23 PM	5.77		176			H
2018/05/30	Wed	04:33 AM	-0.59		-18			L
2018/05/30	Wed	10:46 AM	3.66		112			H
2018/05/30	Wed	03:47 PM	1.79		55			L
2018/05/30	Wed	09:52 PM	5.62		171			H
2018/05/31	Thu	05:09 AM	-0.49		-15			L
2018/05/31	Thu	11:28 AM	3.53		108			H
2018/05/31	Thu	04:17 PM	2.02		62			L
2018/05/31	Thu	10:22 PM	5.40		165			H
2018/06/01	Fri	05:47 AM	-0.32		-10			L
2018/06/01	Fri	12:14 PM	3.41		104			H
2018/06/01	Fri	04:50 PM	2.25		69			L
2018/06/01	Fri	10:54 PM	5.11		156			H
2018/06/02	Sat	06:28 AM	-0.10		-3			L
2018/06/02	Sat	01:05 PM	3.32		101			H
2018/06/02	Sat	05:28 PM	2.48		76			L
2018/06/02	Sat	11:29 PM	4.78		146			H
2018/06/03	Sun	07:13 AM	0.14		4			L
2018/06/03	Sun	02:05 PM	3.31		101			H
2018/06/03	Sun	06:19 PM	2.68		82			L
2018/06/04	Mon	12:10 AM	4.41		134			H
2018/06/04	Mon	08:03 AM	0.37		11			L
2018/06/04	Mon	03:10 PM	3.41		104			H
2018/06/04	Mon	07:41 PM	2.80		85			L
2018/06/05	Tue	01:06 AM	4.02		123			H
2018/06/05	Tue	08:57 AM	0.57		17			L
2018/06/05	Tue	04:08 PM	3.63		111			H
2018/06/05	Tue	09:22 PM	2.70		82			L
2018/06/06	Wed	02:26 AM	3.68		112			H
2018/06/06	Wed	09:52 AM	0.71		22			L
2018/06/06	Wed	04:53 PM	3.95		120			H
2018/06/06	Wed	10:49 PM	2.33		71			L
2018/06/07	Thu	03:56 AM	3.49		106			H
2018/06/07	Thu	10:43 AM	0.82		25			L
2018/06/07	Thu	05:29 PM	4.34		132			H
2018/06/07	Thu	11:53 PM	1.77		54			L
2018/06/08	Fri	05:14 AM	3.48		106			H
2018/06/08	Fri	11:29 AM	0.91		28			L
2018/06/08	Fri	06:03 PM	4.79		146			H
2018/06/09	Sat	12:43 AM	1.11		34			L
2018/06/09	Sat	06:20 AM	3.58		109			H
2018/06/09	Sat	12:13 PM	0.98		30			L
2018/06/09	Sat	06:36 PM	5.28		161			H
2018/06/10	Sun	01:27 AM	0.42		13			L
2018/06/10	Sun	07:18 AM	3.73		114			H
2018/06/10	Sun	12:54 PM	1.07		33			L
2018/06/10	Sun	07:11 PM	5.77		176			H
2018/06/11	Mon	02:10 AM	-0.24		-7			L
2018/06/11	Mon	08:10 AM	3.87		118			H
2018/06/11	Mon	01:35 PM	1.16		35			L
2018/06/11	Mon	07:48 PM	6.20		189			H
2018/06/12	Tue	02:53 AM	-0.81		-25			L
2018/06/12	Tue	09:01 AM	3.98		121			H
2018/06/12	Tue	02:17 PM	1.26		38			L
2018/06/12	Tue	08:27 PM	6.54		199			H
2018/06/13	Wed	03:38 AM	-1.22		-37			L
2018/06/13	Wed	09:51 AM	4.04		123			H
2018/06/13	Wed	03:00 PM	1.38		42			L
2018/06/13	Wed	09:09 PM	6.71		205			H
2018/06/14	Thu	04:24 AM	-1.44		-44			L
2018/06/14	Thu	10:42 AM	4.04		123			H
2018/06/14	Thu	03:46 PM	1.54		47			L
2018/06/14	Thu	09:53 PM	6.69		204			H
2018/06/15	Fri	05:12 AM	-1.45		-44			L
2018/06/15	Fri	11:35 AM	4.01		122			H
2018/06/15	Fri	04:36 PM	1.72		52			L
2018/06/15	Fri	10:41 PM	6.45		197			H
2018/06/16	Sat	06:02 AM	-1.27		-39			L
2018/06/16	Sat	12:31 PM	3.99		122			H
2018/06/16	Sat	05:32 PM	1.92		59			L
2018/06/16	Sat	11:33 PM	6.00		183			H
2018/06/17	Sun	06:55 AM	-0.95		-29			L
2018/06/17	Sun	01:32 PM	4.03		123			H
2018/06/17	Sun	06:39 PM	2.10		64			L
2018/06/18	Mon	12:31 AM	5.41		165			H
2018/06/18	Mon	07:51 AM	-0.54		-16			L
2018/06/18	Mon	02:37 PM	4.17		127			H
2018/06/18	Mon	08:00 PM	2.18		66			L
2018/06/19	Tue	01:38 AM	4.74		144			H
2018/06/19	Tue	08:49 AM	-0.09		-3			L
2018/06/19	Tue	03:41 PM	4.41		134			H
2018/06/19	Tue	09:32 PM	2.02		62			L
2018/06/20	Wed	02:58 AM	4.15		126			H
2018/06/20	Wed	09:49 AM	0.34		10			L
2018/06/20	Wed	04:39 PM	4.72		144			H
2018/06/20	Wed	11:02 PM	1.62		49			L
2018/06/21	Thu	04:25 AM	3.74		114			H
2018/06/21	Thu	10:46 AM	0.72		22			L
2018/06/21	Thu	05:29 PM	5.05		154			H
2018/06/22	Fri	12:15 AM	1.07		33			L
2018/06/22	Fri	05:48 AM	3.56		109			H
2018/06/22	Fri	11:39 AM	1.04		32			L
2018/06/22	Fri	06:13 PM	5.35		163			H
2018/06/23	Sat	01:12 AM	0.55		17			L
2018/06/23	Sat	06:59 AM	3.54		108			H
2018/06/23	Sat	12:26 PM	1.31		40			L
2018/06/23	Sat	06:51 PM	5.58		170			H
2018/06/24	Sun	01:58 AM	0.11		3			L
2018/06/24	Sun	07:56 AM	3.58		109			H
2018/06/24	Sun	01:08 PM	1.52		46			L
2018/06/24	Sun	07:27 PM	5.74		175			H
2018/06/25	Mon	02:38 AM	-0.21		-6			L
2018/06/25	Mon	08:44 AM	3.62		110			H
2018/06/25	Mon	01:46 PM	1.69		52			L
2018/06/25	Mon	07:59 PM	5.84		178			H
2018/06/26	Tue	03:13 AM	-0.41		-12			L
2018/06/26	Tue	09:24 AM	3.66		112			H
2018/06/26	Tue	02:22 PM	1.81		55			L
2018/06/26	Tue	08:31 PM	5.87		179			H
2018/06/27	Wed	03:46 AM	-0.52		-16			L
2018/06/27	Wed	10:00 AM	3.69		112			H
2018/06/27	Wed	02:55 PM	1.91		58			L
2018/06/27	Wed	09:02 PM	5.84		178			H
2018/06/28	Thu	04:19 AM	-0.54		-16			L
2018/06/28	Thu	10:35 AM	3.70		113			H
2018/06/28	Thu	03:29 PM	1.99		61			L
2018/06/28	Thu	09:34 PM	5.75		175			H
2018/06/29	Fri	04:51 AM	-0.48		-15			L
2018/06/29	Fri	11:11 AM	3.69		112			H
2018/06/29	Fri	04:02 PM	2.08		63			L
2018/06/29	Fri	10:05 PM	5.60		171			H
2018/06/30	Sat	05:25 AM	-0.36		-11			L
2018/06/30	Sat	11:48 AM	3.67		112			H
2018/06/30	Sat	04:37 PM	2.19		67			L
2018/06/30	Sat	10:37 PM	5.37		164			H
2018/07/01	Sun	06:00 AM	-0.18		-5			L
2018/07/01	Sun	12:27 PM	3.66		112			H
2018/07/01	Sun	05:16 PM	2.32		71			L
2018/07/01	Sun	11:11 PM	5.08		155			H
2018/07/02	Mon	06:36 AM	0.04		1			L
2018/07/02	Mon	01:11 PM	3.68		112			H
2018/07/02	Mon	06:02 PM	2.44		74			L
2018/07/02	Mon	11:48 PM	4.71		144			H
2018/07/03	Tue	07:15 AM	0.31		9			L
2018/07/03	Tue	01:57 PM	3.75		114			H
2018/07/03	Tue	07:02 PM	2.53		77			L
2018/07/04	Wed	12:32 AM	4.27		130			H
2018/07/04	Wed	07:56 AM	0.60		18			L
2018/07/04	Wed	02:47 PM	3.91		119			H
2018/07/04	Wed	08:22 PM	2.49		76			L
2018/07/05	Thu	01:32 AM	3.80		116			H
2018/07/05	Thu	08:42 AM	0.89		27			L
2018/07/05	Thu	03:36 PM	4.17		127			H
2018/07/05	Thu	09:52 PM	2.23		68			L
2018/07/06	Fri	02:59 AM	3.40		104			H
2018/07/06	Fri	09:33 AM	1.17		36			L
2018/07/06	Fri	04:25 PM	4.53		138			H
2018/07/06	Fri	11:12 PM	1.71		52			L
2018/07/07	Sat	04:35 AM	3.21		98			H
2018/07/07	Sat	10:28 AM	1.39		42			L
2018/07/07	Sat	05:11 PM	4.97		151			H
2018/07/08	Sun	12:16 AM	1.04		32			L
2018/07/08	Sun	06:00 AM	3.26		99			H
2018/07/08	Sun	11:24 AM	1.54		47			L
2018/07/08	Sun	05:55 PM	5.47		167			H
2018/07/09	Mon	01:09 AM	0.32		10			L
2018/07/09	Mon	07:08 AM	3.46		105			H
2018/07/09	Mon	12:18 PM	1.61		49			L
2018/07/09	Mon	06:40 PM	5.98		182			H
2018/07/10	Tue	01:56 AM	-0.36		-11			L
2018/07/10	Tue	08:04 AM	3.71		113			H
2018/07/10	Tue	01:10 PM	1.60		49			L
2018/07/10	Tue	07:25 PM	6.44		196			H
2018/07/11	Wed	02:41 AM	-0.93		-28			L
2018/07/11	Wed	08:55 AM	3.95		120			H
2018/07/11	Wed	01:59 PM	1.56		48			L
2018/07/11	Wed	08:11 PM	6.79		207			H
2018/07/12	Thu	03:26 AM	-1.32		-40			L
2018/07/12	Thu	09:42 AM	4.15		126			H
2018/07/12	Thu	02:49 PM	1.50		46			L
2018/07/12	Thu	08:57 PM	6.96		212			H
2018/07/13	Fri	04:11 AM	-1.50		-46			L
2018/07/13	Fri	10:28 AM	4.30		131			H
2018/07/13	Fri	03:38 PM	1.46		45			L
2018/07/13	Fri	09:44 PM	6.91		211			H
2018/07/14	Sat	04:56 AM	-1.46		-45			L
2018/07/14	Sat	11:15 AM	4.40		134			H
2018/07/14	Sat	04:30 PM	1.48		45			L
2018/07/14	Sat	10:33 PM	6.62		202			H
2018/07/15	Sun	05:42 AM	-1.21		-37			L
2018/07/15	Sun	12:04 PM	4.47		136			H
2018/07/15	Sun	05:26 PM	1.56		48			L
2018/07/15	Sun	11:23 PM	6.11		186			H
2018/07/16	Mon	06:28 AM	-0.79		-24			L
2018/07/16	Mon	12:54 PM	4.53		138			H
2018/07/16	Mon	06:27 PM	1.68		51			L
2018/07/17	Tue	12:17 AM	5.41		165			H
2018/07/17	Tue	07:16 AM	-0.25		-8			L
2018/07/17	Tue	01:48 PM	4.60		140			H
2018/07/17	Tue	07:39 PM	1.76		54			L
2018/07/18	Wed	01:19 AM	4.64		141			H
2018/07/18	Wed	08:06 AM	0.34		10			L
2018/07/18	Wed	02:46 PM	4.70		143			H
2018/07/18	Wed	09:02 PM	1.73		53			L
2018/07/19	Thu	02:33 AM	3.92		119			H
2018/07/19	Thu	09:01 AM	0.91		28			L
2018/07/19	Thu	03:46 PM	4.84		148			H
2018/07/19	Thu	10:34 PM	1.48		45			L
2018/07/20	Fri	04:04 AM	3.42		104			H
2018/07/20	Fri	10:00 AM	1.40		43			L
2018/07/20	Fri	04:45 PM	5.02		153			H
2018/07/20	Fri	11:57 PM	1.06		32			L
2018/07/21	Sat	05:43 AM	3.26		99			H
2018/07/21	Sat	11:01 AM	1.75		53			L
2018/07/21	Sat	05:38 PM	5.21		159			H
2018/07/22	Sun	01:00 AM	0.60		18			L
2018/07/22	Sun	07:04 AM	3.34		102			H
2018/07/22	Sun	11:59 AM	1.96		60			L
2018/07/22	Sun	06:24 PM	5.40		165			H
2018/07/23	Mon	01:47 AM	0.23		7			L
2018/07/23	Mon	08:01 AM	3.50		107			H
2018/07/23	Mon	12:49 PM	2.05		62			L
2018/07/23	Mon	07:05 PM	5.56		169			H
2018/07/24	Tue	02:25 AM	-0.05		-2			L
2018/07/24	Tue	08:42 AM	3.65		111			H
2018/07/24	Tue	01:32 PM	2.06		63			L
2018/07/24	Tue	07:41 PM	5.70		174			H
2018/07/25	Wed	02:58 AM	-0.23		-7			L
2018/07/25	Wed	09:14 AM	3.77		115			H
2018/07/25	Wed	02:09 PM	2.01		61			L
2018/07/25	Wed	08:15 PM	5.79		176			H
2018/07/26	Thu	03:28 AM	-0.34		-10			L
2018/07/26	Thu	09:43 AM	3.87		118			H
2018/07/26	Thu	02:44 PM	1.94		59			L
2018/07/26	Thu	08:48 PM	5.84		178			H
2018/07/27	Fri	03:58 AM	-0.38		-12			L
2018/07/27	Fri	10:11 AM	3.95		120			H
2018/07/27	Fri	03:17 PM	1.89		58			L
2018/07/27	Fri	09:19 PM	5.83		178			H
2018/07/28	Sat	04:27 AM	-0.35		-11			L
2018/07/28	Sat	10:39 AM	4.02		123			H
2018/07/28	Sat	03:50 PM	1.86		57			L
2018/07/28	Sat	09:51 PM	5.73		175			H
2018/07/29	Sun	04:56 AM	-0.26		-8			L
2018/07/29	Sun	11:10 AM	4.07		124			H
2018/07/29	Sun	04:24 PM	1.87		57			L
2018/07/29	Sun	10:22 PM	5.53		169			H
2018/07/30	Mon	05:26 AM	-0.09		-3			L
2018/07/30	Mon	11:41 AM	4.11		125			H
2018/07/30	Mon	05:01 PM	1.91		58			L
2018/07/30	Mon	10:54 PM	5.24		160			H
2018/07/31	Tue	05:56 AM	0.16		5			L
2018/07/31	Tue	12:15 PM	4.15		126			H
2018/07/31	Tue	05:42 PM	1.98		60			L
2018/07/31	Tue	11:29 PM	4.84		148			H
2018/08/01	Wed	06:28 AM	0.47		14			L
2018/08/01	Wed	12:52 PM	4.20		128			H
2018/08/01	Wed	06:32 PM	2.04		62			L
2018/08/02	Thu	12:09 AM	4.35		133			H
2018/08/02	Thu	07:01 AM	0.84		26			L
2018/08/02	Thu	01:34 PM	4.29		131			H
2018/08/02	Thu	07:38 PM	2.05		62			L
2018/08/03	Fri	01:04 AM	3.81		116			H
2018/08/03	Fri	07:39 AM	1.23		37			L
2018/08/03	Fri	02:23 PM	4.44		135			H
2018/08/03	Fri	09:03 PM	1.90		58			L
2018/08/04	Sat	02:27 AM	3.30		101			H
2018/08/04	Sat	08:28 AM	1.62		49			L
2018/08/04	Sat	03:21 PM	4.68		143			H
2018/08/04	Sat	10:35 PM	1.50		46			L
2018/08/05	Sun	04:19 AM	3.06		93			H
2018/08/05	Sun	09:36 AM	1.93		59			L
2018/08/05	Sun	04:23 PM	5.03		153			H
2018/08/05	Sun	11:52 PM	0.90		27			L
2018/08/06	Mon	05:58 AM	3.19		97			H
2018/08/06	Mon	10:52 AM	2.08		63			L
2018/08/06	Mon	05:23 PM	5.48		167			H
2018/08/07	Tue	12:52 AM	0.22		7			L
2018/08/07	Tue	07:07 AM	3.51		107			H
2018/08/07	Tue	12:01 PM	2.03		62			L
2018/08/07	Tue	06:19 PM	5.97		182			H
2018/08/08	Wed	01:41 AM	-0.41		-12			L
2018/08/08	Wed	07:58 AM	3.87		118			H
2018/08/08	Wed	01:00 PM	1.83		56			L
2018/08/08	Wed	07:11 PM	6.44		196			H
2018/08/09	Thu	02:27 AM	-0.90		-27			L
2018/08/09	Thu	08:42 AM	4.21		128			H
2018/08/09	Thu	01:53 PM	1.57		48			L
2018/08/09	Thu	08:00 PM	6.78		207			H
2018/08/10	Fri	03:10 AM	-1.21		-37			L
2018/08/10	Fri	09:23 AM	4.51		137			H
2018/08/10	Fri	02:43 PM	1.30		40			L
2018/08/10	Fri	08:48 PM	6.93		211			H
2018/08/11	Sat	03:51 AM	-1.29		-39			L
2018/08/11	Sat	10:04 AM	4.75		145			H
2018/08/11	Sat	03:32 PM	1.09		33			L
2018/08/11	Sat	09:35 PM	6.84		208			H
2018/08/12	Sun	04:33 AM	-1.15		-35			L
2018/08/12	Sun	10:44 AM	4.91		150			H
2018/08/12	Sun	04:22 PM	0.99		30			L
2018/08/12	Sun	10:22 PM	6.49		198			H
2018/08/13	Mon	05:13 AM	-0.80		-24			L
2018/08/13	Mon	11:26 AM	5.00		152			H
2018/08/13	Mon	05:13 PM	1.00		30			L
2018/08/13	Mon	11:10 PM	5.92		180			H
2018/08/14	Tue	05:54 AM	-0.29		-9			L
2018/08/14	Tue	12:09 PM	5.02		153			H
2018/08/14	Tue	06:09 PM	1.12		34			L
2018/08/15	Wed	12:01 AM	5.18		158			H
2018/08/15	Wed	06:35 AM	0.33		10			L
2018/08/15	Wed	12:55 PM	4.96		151			H
2018/08/15	Wed	07:12 PM	1.28		39			L
2018/08/16	Thu	12:59 AM	4.39		134			H
2018/08/16	Thu	07:19 AM	0.98		30			L
2018/08/16	Thu	01:47 PM	4.87		148			H
2018/08/16	Thu	08:27 PM	1.40		43			L
2018/08/17	Fri	02:11 AM	3.68		112			H
2018/08/17	Fri	08:09 AM	1.60		49			L
2018/08/17	Fri	02:46 PM	4.79		146			H
2018/08/17	Fri	09:58 PM	1.35		41			L
2018/08/18	Sat	03:52 AM	3.24		99			H
2018/08/18	Sat	09:12 AM	2.10		64			L
2018/08/18	Sat	03:53 PM	4.77		145			H
2018/08/18	Sat	11:30 PM	1.08		33			L
2018/08/19	Sun	05:53 AM	3.23		98			H
2018/08/19	Sun	10:31 AM	2.39		73			L
2018/08/19	Sun	05:00 PM	4.86		148			H
2018/08/20	Mon	12:38 AM	0.73		22			L
2018/08/20	Mon	07:10 AM	3.47		106			H
2018/08/20	Mon	11:46 AM	2.44		74			L
2018/08/20	Mon	05:58 PM	5.03		153			H
2018/08/21	Tue	01:25 AM	0.41		12			L
2018/08/21	Tue	07:54 AM	3.71		113			H
2018/08/21	Tue	12:42 PM	2.33		71			L
2018/08/21	Tue	06:45 PM	5.24		160			H
2018/08/22	Wed	02:02 AM	0.17		5			L
2018/08/22	Wed	08:24 AM	3.90		119			H
2018/08/22	Wed	01:25 PM	2.15		66			L
2018/08/22	Wed	07:24 PM	5.45		166			H
2018/08/23	Thu	02:32 AM	0.00		0			L
2018/08/23	Thu	08:48 AM	4.07		124			H
2018/08/23	Thu	02:00 PM	1.94		59			L
2018/08/23	Thu	07:59 PM	5.62		171			H
2018/08/24	Fri	03:00 AM	-0.10		-3			L
2018/08/24	Fri	09:11 AM	4.22		129			H
2018/08/24	Fri	02:33 PM	1.73		53			L
2018/08/24	Fri	08:32 PM	5.73		175			H
2018/08/25	Sat	03:27 AM	-0.15		-5			L
2018/08/25	Sat	09:34 AM	4.37		133			H
2018/08/25	Sat	03:04 PM	1.55		47			L
2018/08/25	Sat	09:03 PM	5.76		176			H
2018/08/26	Sun	03:54 AM	-0.12		-4			L
2018/08/26	Sun	09:59 AM	4.50		137			H
2018/08/26	Sun	03:36 PM	1.41		43			L
2018/08/26	Sun	09:34 PM	5.68		173			H
2018/08/27	Mon	04:21 AM	-0.01		-0			L
2018/08/27	Mon	10:26 AM	4.60		140			H
2018/08/27	Mon	04:09 PM	1.33		41			L
2018/08/27	Mon	10:06 PM	5.48		167			H
2018/08/28	Tue	04:47 AM	0.18		5			L
2018/08/28	Tue	10:53 AM	4.68		143			H
2018/08/28	Tue	04:44 PM	1.30		40			L
2018/08/28	Tue	10:39 PM	5.16		157			H
2018/08/29	Wed	05:14 AM	0.47		14			L
2018/08/29	Wed	11:22 AM	4.73		144			H
2018/08/29	Wed	05:24 PM	1.32		40			L
2018/08/29	Wed	11:15 PM	4.73		144			H
2018/08/30	Thu	05:42 AM	0.84		26			L
2018/08/30	Thu	11:54 AM	4.76		145			H
2018/08/30	Thu	06:11 PM	1.37		42			L
2018/08/30	Thu	11:58 PM	4.21		128			H
2018/08/31	Fri	06:11 AM	1.26		38			L
2018/08/31	Fri	12:31 PM	4.77		145			H
2018/08/31	Fri	07:11 PM	1.43		44			L
2018/09/01	Sat	12:56 AM	3.65		111			H
2018/09/01	Sat	06:45 AM	1.71		52			L
2018/09/01	Sat	01:19 PM	4.77		145			H
2018/09/01	Sat	08:31 PM	1.40		43			L
2018/09/02	Sun	02:28 AM	3.19		97			H
2018/09/02	Sun	07:34 AM	2.14		65			L
2018/09/02	Sun	02:25 PM	4.81		147			H
2018/09/02	Sun	10:07 PM	1.15		35			L
2018/09/03	Mon	04:32 AM	3.10		94			H
2018/09/03	Mon	09:04 AM	2.47		75			L
2018/09/03	Mon	03:45 PM	4.98		152			H
2018/09/03	Mon	11:31 PM	0.67		20			L
2018/09/04	Tue	06:08 AM	3.41		104			H
2018/09/04	Tue	10:45 AM	2.50		76			L
2018/09/04	Tue	05:01 PM	5.33		162			H
2018/09/05	Wed	12:33 AM	0.11		3			L
2018/09/05	Wed	07:03 AM	3.84		117			H
2018/09/05	Wed	12:01 PM	2.22		68			L
2018/09/05	Wed	06:05 PM	5.78		176			H
2018/09/06	Thu	01:22 AM	-0.38		-12			L
2018/09/06	Thu	07:44 AM	4.27		130			H
2018/09/06	Thu	01:00 PM	1.79		55			L
2018/09/06	Thu	07:01 PM	6.20		189			H
2018/09/07	Fri	02:06 AM	-0.72		-22			L
2018/09/07	Fri	08:21 AM	4.67		142			H
2018/09/07	Fri	01:51 PM	1.31		40			L
2018/09/07	Fri	07:51 PM	6.48		198			H
2018/09/08	Sat	02:46 AM	-0.87		-27			L
2018/09/08	Sat	08:57 AM	5.03		153			H
2018/09/08	Sat	02:39 PM	0.89		27			L
2018/09/08	Sat	08:39 PM	6.56		200			H
2018/09/09	Sun	03:25 AM	-0.82		-25			L
2018/09/09	Sun	09:32 AM	5.30		162			H
2018/09/09	Sun	03:25 PM	0.57		17			L
2018/09/09	Sun	09:24 PM	6.39		195			H
2018/09/10	Mon	04:02 AM	-0.56		-17			L
2018/09/10	Mon	10:08 AM	5.48		167			H
2018/09/10	Mon	04:11 PM	0.41		12			L
2018/09/10	Mon	10:10 PM	6.00		183			H
2018/09/11	Tue	04:38 AM	-0.14		-4			L
2018/09/11	Tue	10:44 AM	5.53		169			H
2018/09/11	Tue	04:58 PM	0.41		12			L
2018/09/11	Tue	10:56 PM	5.43		166			H
2018/09/12	Wed	05:14 AM	0.40		12			L
2018/09/12	Wed	11:22 AM	5.46		166			H
2018/09/12	Wed	05:48 PM	0.55		17			L
2018/09/12	Wed	11:45 PM	4.76		145			H
2018/09/13	Thu	05:50 AM	1.02		31			L
2018/09/13	Thu	12:01 PM	5.27		161			H
2018/09/13	Thu	06:43 PM	0.78		24			L
2018/09/14	Fri	12:41 AM	4.07		124			H
2018/09/14	Fri	06:28 AM	1.65		50			L
2018/09/14	Fri	12:45 PM	4.99		152			H
2018/09/14	Fri	07:49 PM	1.02		31			L
2018/09/15	Sat	01:55 AM	3.49		106			H
2018/09/15	Sat	07:12 AM	2.22		68			L
2018/09/15	Sat	01:38 PM	4.69		143			H
2018/09/15	Sat	09:12 PM	1.17		36			L
2018/09/16	Sun	03:51 AM	3.22		98			H
2018/09/16	Sun	08:21 AM	2.68		82			L
2018/09/16	Sun	02:50 PM	4.46		136			H
2018/09/16	Sun	10:47 PM	1.09		33			L
2018/09/17	Mon	06:05 AM	3.41		104			H
2018/09/17	Mon	10:09 AM	2.87		87			L
2018/09/17	Mon	04:15 PM	4.42		135			H
2018/09/18	Tue	12:00 AM	0.86		26			L
2018/09/18	Tue	06:59 AM	3.71		113			H
2018/09/18	Tue	11:41 AM	2.72		83			L
2018/09/18	Tue	05:27 PM	4.58		140			H
2018/09/19	Wed	12:49 AM	0.61		19			L
2018/09/19	Wed	07:28 AM	3.97		121			H
2018/09/19	Wed	12:36 PM	2.42		74			L
2018/09/19	Wed	06:20 PM	4.83		147			H
2018/09/20	Thu	01:25 AM	0.41		12			L
2018/09/20	Thu	07:50 AM	4.19		128			H
2018/09/20	Thu	01:14 PM	2.08		63			L
2018/09/20	Thu	07:02 PM	5.08		155			H
2018/09/21	Fri	01:55 AM	0.26		8			L
2018/09/21	Fri	08:10 AM	4.41		134			H
2018/09/21	Fri	01:46 PM	1.73		53			L
2018/09/21	Fri	07:38 PM	5.29		161			H
2018/09/22	Sat	02:23 AM	0.17		5			L
2018/09/22	Sat	08:31 AM	4.64		141			H
2018/09/22	Sat	02:17 PM	1.40		43			L
2018/09/22	Sat	08:11 PM	5.42		165			H
2018/09/23	Sun	02:49 AM	0.15		5			L
2018/09/23	Sun	08:53 AM	4.86		148			H
2018/09/23	Sun	02:48 PM	1.10		34			L
2018/09/23	Sun	08:44 PM	5.46		166			H
2018/09/24	Mon	03:14 AM	0.20		6			L
